時間,近/遠洋,進/出港,裝/卸貨,航線名稱,新南向區域,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船型,艘次
2017/4/25 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2018/1/6 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2017/11/9 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2017/11/9 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2017/11/16 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2017/9/28 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2017/12/15 上午 12:00:00,遠洋航線,出港,卸貨,A904東地中海航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2017/11/4 上午 12:00:00,遠洋航線,出港,卸貨,A904東地中海航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,2
2017/11/25 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2017/12/22 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2017/12/7 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2018/2/2 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2018/2/22 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2018/1/12 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2018/1/21 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2018/2/17 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2017/12/28 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2018/1/27 上午 12:00:00,遠洋航線,出港,卸貨,A904東地中海航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2016/3/5 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/7/9 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/9/25 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/9/3 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/11/12 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
